全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
382019,E3820100279201,三本柳公園（清住公園）,サンボンヤナギコウエンキヨスミコウエン,,382019,,愛媛県松山市清住1-8-4,,,,,,33.85442282,132.71904,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"1,400 ",,,,,
382019,E3820100333201,三津大可賀公園,ミツオオカガコウエン,,382019,,愛媛県松山市大可賀1-5,,,,,,33.85462742,132.7147449,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"13,700 ",,,,,
382019,E3820100517201,富久公園,トミヒサコウエン,,382019,,愛媛県松山市富久町302-5 外,,,,,,33.82343039,132.7279028,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"2,200 ",,,,,
382019,E3820100556201,北吉田公園,キタヨシダコウエン,,382019,,愛媛県松山市北吉田町1211,,,,,,33.83838218,132.7088897,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"3,100 ",,,,,
382019,E3820100157201,高岡中央公園,タカオカチュウオウコウエン,,382019,,愛媛県松山市高岡町582-5 外,,,,,,33.83197286,132.7211807,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,100 ",,,,,
382019,E3820100159201,若宮公園,ワカミヤコウエン,,382019,,愛媛県松山市高岡町783-29,,,,,,33.83527803,132.7178298,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,400 ",,,,,
382019,E3820100160201,高岡第一公園,タカオカダイイチコウエン,,382019,,愛媛県松山市高岡町835-1,,,,,,33.83175094,132.71394,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"2,400 ",,,,,
382019,E3820100155201,高岡みなみ公園,タカオカミナミコウエン,,382019,,愛媛県松山市高岡町46-1,,,,,,33.82597662,132.7243292,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,000 ",,,,,
382019,E3820100456201,空港南公園,クウコウミナミコウエン,,382019,,愛媛県松山市南吉田町2267,,,,,,33.82146225,132.7047234,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"5,300 ",,,,,
382019,E3820100457201,空港南第二公園,クウコウミナミダイニコウエン,,382019,,愛媛県松山市南吉田町2428,,,,,,33.82303543,132.7024703,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"4,900 ",,,,,
382019,E3820100460201,鶴ケ丘公園,ツルガオカコウエン,,382019,,愛媛県松山市南吉田町527-3,,,,,,33.82237868,132.7145923,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,500 ,,,,,
382019,E3820100454201,南吉田公園,ミナミヨシダコウエン,,382019,,愛媛県松山市南吉田町1252-1,,,,,,33.82668527,132.7054824,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"1,200 ",,,,,
382019,E3820100459201,南吉田第二公園,ミナミヨシダダイニコウエン,,382019,,愛媛県松山市南吉田町2653,,,,,,33.82378413,132.7090444,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"1,300 ",,,,,
382019,E3820100458201,南吉田第三公園,ミナミヨシダダイサンコウエン,,382019,,愛媛県松山市南吉田町2593-1,,,,,,33.82351674,132.7092751,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"1,900 ",,,,,
382019,E3820100455201,南吉田中央公園,ミナミヨシダチュウオウコウエン,,382019,,愛媛県松山市南吉田町1366,,,,,,33.826969,132.709387,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"2,800 ",,,,,
382019,E3820100289201,大新田公園,オオシンデンコウエン,,382019,,愛媛県松山市西垣生町286,,,,,,33.80868322,132.6996922,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"5,400 ",,,,,
382019,E3820100285201,西垣生公園,ニシハブコウエン,,382019,,愛媛県松山市西垣生町1066-7,,,,,,33.81621887,132.7036237,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,700 ,,,,,
382019,E3820100287201,住吉公園,スミヨシコウエン,,382019,,愛媛県松山市西垣生町1369-1,,,,,,33.8105842,132.6992864,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"1,900 ",,,,,
382019,E3820100412201,東垣生公園,ヒガシハブコウエン,,382019,,愛媛県松山市東垣生町758-2,,,,,,33.81623955,132.71493,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"3,000 ",,,,,
382019,E3820100416201,空港東公園,クウコウヒガシコウエン,,382019,,愛媛県松山市東垣生町950-1 外,,,,,,33.81683929,132.7112521,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"7,800 ",,,,,
382019,E3820100411201,奥土居公園,オクドイコウエン,,382019,,愛媛県松山市東垣生町706-1,,,,,,33.81468887,132.7163005,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"3,600 ",,,,,
382019,E3820100413201,八反地公園,ハッタンジコウエン,,382019,,愛媛県松山市東垣生町782,,,,,,33.81547545,132.7170805,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,700 ,,,,,
382019,E3820100415201,空港東第二公園,クウコウヒガシダイニコウエン,,382019,,愛媛県松山市東垣生町928-1,,,,,,33.81686757,132.7149424,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"10,200 ",,,,,
382019,E3820100410201,空港東第三公園,クウコウヒガシダイサンコウエン,,382019,,愛媛県松山市東垣生町628-1,,,,,,33.81561364,132.7143822,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"5,800 ",,,,,
382019,E3820100414201,空港東第四公園,クウコウヒガシダイヨンコウエン,,382019,,愛媛県松山市東垣生町869-1,,,,,,33.81786504,132.7150717,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"9,200 ",,,,,
382019,E3820100417201,東山公園,ヒガシヤマコウエン,,382019,,愛媛県松山市東山町4109-1 外,,,,,,33.86360726,132.7313464,,,,,,,,382019,愛媛県松山市,1,1,,1,1,,,,,,"1,300 ",,,,,
382019,E3820100058201,会津公園,アイズコウエン,,382019,,愛媛県松山市会津町11-6,,,,,,33.86311106,132.7259963,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"2,100 ",,,,,
382019,E3820100059201,すみれ公園,スミレコウエン,,382019,,愛媛県松山市会津町16-16,,,,,,33.86366341,132.7281126,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,600 ,,,,,
382019,E3820100344201,たつみ公園,タツミコウエン,,382019,,愛媛県松山市辰巳町2858-8 外,,,,,,33.86665302,132.7192298,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"1,000 ",,,,,
382019,E3820100349201,中須賀公園,ナカスガコウエン,,382019,,愛媛県松山市中須賀1-11,,,,,,33.8646204,132.723813,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"2,900 ",,,,,
382019,E3820100659201,祓川公園,ハライカワコウエン,,382019,,愛媛県松山市祓川2-2065-86,,,,,,33.86043552,132.7209856,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"1,100 ",,,,,
382019,E3820100453201,内浜公園,ウチハマコウエン,,382019,,愛媛県松山市内浜町12-3,,,,,,33.86581205,132.727683,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"3,000 ",,,,,
382019,E3820100120201,宮前公園,ミヤマエコウエン,,382019,,愛媛県松山市古三津1-1479-2,,,,,,33.85694053,132.7233844,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"2,900 ",,,,,
382019,E3820100301201,青葉台公園,アオバダイコウエン,,382019,,愛媛県松山市青葉台44,,,,,,33.85773163,132.7342035,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"2,700 ",,,,,
382019,E3820100205201,三津住吉公園,ミツスミヨシコウエン,,382019,,愛媛県松山市住吉2-90-1 外,,,,,,33.863645,132.716343,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"1,300 ",,,,,
382019,E3820100269201,西須賀公園,ニシスガコウエン,,382019,,愛媛県松山市須賀町1-10,,,,,,33.85768218,132.7175721,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"1,400 ",,,,,
382019,E3820100305201,すみれ野北公園,スミレノキタコウエン,,382019,,愛媛県松山市石風呂町579,,,,,,33.87835315,132.715309,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"3,000 ",,,,,
382019,E3820100304201,すみれ野南公園,スミレノミナミコウエン,,382019,,愛媛県松山市石風呂町230-1,,,,,,33.87317784,132.7181414,,,,,,,,382019,愛媛県松山市,1,1,,1,1,,,,,,600 ,,,,,
382019,E3820100257201,新浜公園,シンハマコウエン,,382019,,愛媛県松山市新浜町1145-4 外,,,,,,33.87362763,132.713874,,,,,,,,382019,愛媛県松山市,1,1,,1,,,,,,,"2,100 ",,,,,
382019,E3820100165201,ことひら公園,コトヒラコウエン,,382019,,愛媛県松山市高浜町4丁目乙74,,,,,,33.88680659,132.7032121,,,,,,,,382019,愛媛県松山市,1,,,1,1,,,,,,500 ,,,,,
382019,E3820100167201,高浜公園,タカハマコウエン,,382019,,愛媛県松山市高浜町6-2255-1,,,,,,33.89521699,132.7076465,,,,,,,,382019,愛媛県松山市,1,,,1,,,,,,,"1,000 ",,,,,
382019,E3820100139201,観月山公園,カンゲツザンコウエン,,382019,,愛媛県松山市港山町2021,,,,,,33.86871002,132.7154274,,,,,,,,382019,愛媛県松山市,1,,,1,1,,,,,,"2,600 ",,,,,
382019,E3820100612201,太郎丸公園,タロウマルコウエン,,382019,,愛媛県松山市問屋町334-37,,,,,,33.86334038,132.7491282,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"1,000 ",,,,,
382019,E3820100006201,安城寺西公園,アンジョウジニシコウエン,,382019,,愛媛県松山市安城寺町1334-1,,,,,,33.88165353,132.7408482,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,400 ",,,,,
382019,E3820100091201,久万ノ台公園,クマノダイコウエン,,382019,,愛媛県松山市久万ﾉ台乙1749-1 外,,,,,,33.8604024,132.7388951,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"11,300 ",,,,,
382019,E3820100087201,久万ノ台緑地,クマノダイリョクチ,,382019,,愛媛県松山市久万ﾉ台1421-1,,,,,,33.85777675,132.7373549,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"12,000 ",,,,,
382019,E3820100296201,西長戸東公園,ニシナガトヒガシコウエン,,382019,,愛媛県松山市西長戸町163-2 外,,,,,,33.86699572,132.7458287,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"2,400 ",,,,,
382019,E3820100299201,西長戸公園,ニシナガトコウエン,,382019,,愛媛県松山市西長戸町558,,,,,,33.86637535,132.7366967,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"2,200 ",,,,,
382019,E3820100061201,鴨川公園,カモガワコウエン,,382019,,愛媛県松山市鴨川3-1041-1,,,,,,33.87425029,132.7493929,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"2,500 ",,,,,
